Date,Model,EECU (hours),Completed,EECU (hours/task),EECU (secs/task)
2025-10-30,eeMETRIC,6.3,53,0.11886792452830189,427.9245283018868
2025-10-29,eeMETRIC,5.8,38,0.15263157894736842,549.4736842105264
2025-10-28,eeMETRIC,6.2,47,0.13191489361702127,474.89361702127655
2025-10-27,eeMETRIC,5.9,48,0.12291666666666667,442.5
2025-10-26,eeMETRIC,5.8,52,0.11153846153846153,401.5384615384615
2025-10-25,eeMETRIC,5.5,89,0.06179775280898876,222.47191011235955
2025-10-23,eeMETRIC,6.2,70,0.08857142857142858,318.8571428571429
2025-10-22,eeMETRIC,6.0,83,0.07228915662650602,260.2409638554217
2025-10-21,eeMETRIC,6.5,47,0.13829787234042554,497.87234042553195
2025-10-20,eeMETRIC,6.4,46,0.1391304347826087,500.8695652173913
2025-10-19,eeMETRIC,6.5,65,0.1,360.0
2025-10-18,eeMETRIC,6.3,69,0.09130434782608696,328.69565217391306
2025-10-17,eeMETRIC,6.4,80,0.08,288.0
2025-10-16,eeMETRIC,6.2,67,0.09253731343283582,333.13432835820896
2025-10-15,eeMETRIC,6.3,70,0.09,324.0
2025-10-14,eeMETRIC,6.1,62,0.09838709677419354,354.1935483870967
2025-10-13,eeMETRIC,6.3,65,0.09692307692307692,348.9230769230769
2025-10-12,eeMETRIC,6.4,64,0.1,360.0
2025-10-11,eeMETRIC,6.2,71,0.08732394366197184,314.3661971830986
2025-10-10,eeMETRIC,6.2,76,0.08157894736842106,293.6842105263158
2025-10-09,eeMETRIC,6.3,71,0.08873239436619718,319.4366197183098
2025-10-08,eeMETRIC,6.2,76,0.08157894736842106,293.6842105263158
2025-10-07,eeMETRIC,6.6,79,0.08354430379746836,300.75949367088606
2025-10-06,eeMETRIC,6.4,63,0.10158730158730159,365.7142857142857
2025-10-05,eeMETRIC,6.4,117,0.0547008547008547,196.92307692307693
2025-10-04,eeMETRIC,6.7,125,0.0536,192.96
2025-10-03,eeMETRIC,6.3,100,0.063,226.8
2025-10-02,eeMETRIC,6.5,170,0.03823529411764706,137.64705882352942
2025-10-01,eeMETRIC,6.4,142,0.04507042253521127,162.25352112676057
2025-09-30,eeMETRIC,6.0,68,0.08823529411764706,317.64705882352945
2025-09-29,eeMETRIC,6.2,71,0.08732394366197184,314.3661971830986
2025-09-28,eeMETRIC,6.7,61,0.1098360655737705,395.4098360655738
2025-09-27,eeMETRIC,6.2,76,0.08157894736842106,293.6842105263158
2025-09-26,eeMETRIC,6.2,141,0.04397163120567376,158.29787234042553
2025-09-25,eeMETRIC,6.1,49,0.12448979591836734,448.1632653061224
2025-09-24,eeMETRIC,6.1,61,0.09999999999999999,359.99999999999994
2025-09-23,eeMETRIC,6.0,183,0.03278688524590164,118.03278688524591
2025-09-22,eeMETRIC,5.7,76,0.075,270.0
2025-09-21,eeMETRIC,6.0,94,0.06382978723404255,229.78723404255317
2025-09-20,eeMETRIC,6.1,58,0.10517241379310344,378.6206896551724
2025-09-19,eeMETRIC,6.1,67,0.09104477611940298,327.76119402985074
2025-09-18,eeMETRIC,5.7,77,0.07402597402597402,266.49350649350646
2025-09-17,eeMETRIC,6.1,72,0.08472222222222221,304.99999999999994
2025-09-16,eeMETRIC,6.2,24,0.25833333333333336,930.0000000000001
2025-09-15,eeMETRIC,5.9,123,0.047967479674796754,172.68292682926833
2025-09-14,eeMETRIC,5.6,139,0.04028776978417266,145.03597122302156
2025-09-13,eeMETRIC,6.1,172,0.035465116279069765,127.67441860465115
2025-09-12,eeMETRIC,6.2,63,0.09841269841269841,354.2857142857143
2025-09-11,eeMETRIC,6.3,155,0.04064516129032258,146.32258064516128
2025-09-10,eeMETRIC,5.9,20,0.29500000000000004,1062.0000000000002
2025-09-09,eeMETRIC,6.5,25,0.26,936.0
2025-09-08,eeMETRIC,5.9,72,0.08194444444444444,295.0
2025-09-07,eeMETRIC,5.5,71,0.07746478873239436,278.8732394366197
2025-09-06,eeMETRIC,6.1,65,0.09384615384615384,337.8461538461538
2025-09-05,eeMETRIC,6.4,108,0.05925925925925926,213.33333333333334
2025-09-04,eeMETRIC,5.9,282,0.02092198581560284,75.31914893617022
2025-09-03,eeMETRIC,6.6,15,0.44,1584.0
2025-09-02,eeMETRIC,5.8,27,0.21481481481481482,773.3333333333334
2025-09-01,eeMETRIC,6.1,46,0.1326086956521739,477.391304347826
2025-08-31,eeMETRIC,5.8,66,0.08787878787878788,316.3636363636364
2025-08-30,eeMETRIC,6.0,65,0.09230769230769231,332.3076923076923
2025-08-29,eeMETRIC,6.0,138,0.043478260869565216,156.52173913043478
2025-08-28,eeMETRIC,6.1,131,0.046564885496183206,167.63358778625954
2025-08-27,eeMETRIC,6.2,73,0.08493150684931507,305.75342465753425
2025-08-26,eeMETRIC,5.9,65,0.09076923076923077,326.7692307692308
2025-08-25,eeMETRIC,6.5,65,0.1,360.0
2025-08-24,eeMETRIC,5.7,71,0.08028169014084507,289.01408450704224
2025-08-23,eeMETRIC,5.9,168,0.03511904761904762,126.42857142857143
2025-08-22,eeMETRIC,6.0,167,0.03592814371257485,129.34131736526945
2025-08-21,eeMETRIC,5.7,67,0.08507462686567165,306.2686567164179
2025-08-20,eeMETRIC,5.6,68,0.08235294117647059,296.4705882352941
2025-08-19,eeMETRIC,6.7,56,0.11964285714285715,430.7142857142857
2025-08-18,eeMETRIC,5.9,63,0.09365079365079365,337.14285714285717
2025-08-17,eeMETRIC,5.7,101,0.05643564356435644,203.16831683168317
2025-08-16,eeMETRIC,5.8,224,0.02589285714285714,93.21428571428571
2025-08-15,eeMETRIC,6.2,67,0.09253731343283582,333.13432835820896
2025-08-14,eeMETRIC,6.6,71,0.09295774647887324,334.6478873239437
2025-08-13,eeMETRIC,5.9,68,0.08676470588235295,312.3529411764706
2025-08-12,eeMETRIC,6.1,62,0.09838709677419354,354.1935483870967
2025-08-11,eeMETRIC,6.0,68,0.08823529411764706,317.64705882352945
2025-08-10,eeMETRIC,5.7,63,0.09047619047619047,325.7142857142857
2025-08-09,eeMETRIC,6.1,191,0.031937172774869106,114.97382198952879
2025-08-08,eeMETRIC,6.0,61,0.09836065573770492,354.0983606557377
2025-08-07,eeMETRIC,6.0,124,0.04838709677419355,174.19354838709677
2025-08-06,eeMETRIC,6.1,68,0.08970588235294118,322.94117647058823
2025-08-05,eeMETRIC,5.8,83,0.06987951807228915,251.56626506024094
2025-08-04,eeMETRIC,6.2,69,0.08985507246376812,323.4782608695652
2025-08-03,eeMETRIC,6.3,73,0.08630136986301369,310.6849315068493
2025-08-02,eeMETRIC,6.2,130,0.047692307692307694,171.6923076923077
2025-08-01,eeMETRIC,6.2,167,0.037125748502994015,133.65269461077844
2025-07-31,eeMETRIC,6.0,25,0.24,864.0
2025-07-30,eeMETRIC,6.0,66,0.09090909090909091,327.2727272727273
2025-07-29,eeMETRIC,6.0,70,0.08571428571428572,308.57142857142856
2025-07-28,eeMETRIC,6.1,120,0.05083333333333333,182.99999999999997
2025-07-27,eeMETRIC,6.0,233,0.02575107296137339,92.70386266094421
2025-07-26,eeMETRIC,5.9,79,0.07468354430379748,268.8607594936709
2025-07-25,eeMETRIC,6.1,86,0.07093023255813953,255.3488372093023
2025-07-24,eeMETRIC,6.0,58,0.10344827586206896,372.41379310344826
2025-07-23,eeMETRIC,6.0,30,0.2,720.0
2025-07-22,eeMETRIC,5.7,21,0.27142857142857146,977.1428571428572
2025-07-21,eeMETRIC,5.9,30,0.19666666666666668,708.0000000000001
2025-07-20,eeMETRIC,6.0,203,0.029556650246305417,106.4039408866995
2025-07-19,eeMETRIC,5.8,36,0.1611111111111111,579.9999999999999
2025-07-17,eeMETRIC,5.6,47,0.11914893617021276,428.93617021276594
2025-07-16,eeMETRIC,5.5,155,0.035483870967741936,127.74193548387098
2025-07-15,eeMETRIC,5.5,118,0.046610169491525424,167.79661016949152
2025-07-14,eeMETRIC,5.3,63,0.08412698412698412,302.85714285714283
2025-07-13,eeMETRIC,5.4,76,0.07105263157894737,255.78947368421052
2025-07-12,eeMETRIC,5.7,130,0.04384615384615385,157.84615384615384
2025-07-11,eeMETRIC,5.3,61,0.08688524590163935,312.78688524590166
2025-07-10,eeMETRIC,5.9,53,0.11132075471698114,400.7547169811321
2025-07-09,eeMETRIC,5.3,67,0.0791044776119403,284.77611940298505
2025-07-08,eeMETRIC,5.6,63,0.08888888888888888,319.99999999999994
2025-07-07,eeMETRIC,5.6,46,0.1217391304347826,438.2608695652174
2025-07-06,eeMETRIC,5.5,58,0.09482758620689655,341.37931034482756
2025-07-05,eeMETRIC,5.2,68,0.07647058823529412,275.29411764705884
2025-07-04,eeMETRIC,5.4,68,0.07941176470588236,285.8823529411765
2025-07-03,eeMETRIC,5.9,54,0.10925925925925926,393.33333333333337
2025-07-02,eeMETRIC,5.6,165,0.033939393939393936,122.18181818181817
2025-07-01,eeMETRIC,5.0,53,0.09433962264150944,339.622641509434
2025-06-30,eeMETRIC,5.6,41,0.13658536585365852,491.70731707317066
2025-06-29,eeMETRIC,5.6,92,0.0608695652173913,219.1304347826087
2025-06-28,eeMETRIC,5.6,199,0.028140703517587937,101.30653266331657
2025-06-27,eeMETRIC,5.7,62,0.09193548387096774,330.96774193548384
2025-06-26,eeMETRIC,5.6,129,0.043410852713178294,156.27906976744185
2025-06-25,eeMETRIC,3.0,1,3.0,10800.0
2025-06-24,eeMETRIC,5.3,54,0.09814814814814815,353.33333333333337
2025-06-23,eeMETRIC,4.7,43,0.10930232558139535,393.48837209302326
2025-06-22,eeMETRIC,5.2,49,0.10612244897959185,382.04081632653066
2025-06-21,eeMETRIC,5.4,57,0.09473684210526316,341.0526315789474
2025-06-20,eeMETRIC,5.4,107,0.05046728971962617,181.6822429906542
2025-06-19,eeMETRIC,5.0,168,0.02976190476190476,107.14285714285714
2025-06-18,eeMETRIC,5.3,71,0.07464788732394366,268.7323943661972
2025-06-17,eeMETRIC,6.1,69,0.08840579710144927,318.2608695652174
2025-06-16,eeMETRIC,5.9,61,0.09672131147540984,348.1967213114754
2025-06-15,eeMETRIC,5.7,51,0.11176470588235295,402.3529411764706
2025-06-14,eeMETRIC,5.8,105,0.05523809523809524,198.85714285714286
2025-06-13,eeMETRIC,5.9,19,0.3105263157894737,1117.8947368421054
2025-06-12,eeMETRIC,5.4,60,0.09000000000000001,324.00000000000006
2025-06-11,eeMETRIC,6.1,58,0.10517241379310344,378.6206896551724
2025-06-10,eeMETRIC,6.1,77,0.07922077922077922,285.1948051948052
2025-06-09,eeMETRIC,5.5,80,0.06875,247.50000000000003
2025-06-08,eeMETRIC,5.7,156,0.03653846153846154,131.53846153846155
2025-06-07,eeMETRIC,5.6,49,0.11428571428571428,411.4285714285714
2025-06-06,eeMETRIC,5.5,52,0.10576923076923077,380.7692307692308
2025-06-05,eeMETRIC,5.8,63,0.09206349206349206,331.4285714285714
2025-06-04,eeMETRIC,5.8,167,0.03473053892215569,125.02994011976048
2025-06-03,eeMETRIC,5.7,31,0.18387096774193548,661.9354838709677
2025-06-02,eeMETRIC,5.1,35,0.1457142857142857,524.5714285714286
2025-06-01,eeMETRIC,5.2,43,0.12093023255813953,435.3488372093023
2025-05-31,eeMETRIC,5.5,212,0.025943396226415096,93.39622641509435
2025-05-30,eeMETRIC,5.6,56,0.09999999999999999,359.99999999999994
2025-05-29,eeMETRIC,5.5,61,0.09016393442622951,324.59016393442624
2025-05-28,eeMETRIC,6.0,90,0.06666666666666667,240.0
2025-05-27,eeMETRIC,5.7,4,1.425,5130.0
2025-05-26,eeMETRIC,5.8,51,0.11372549019607843,409.4117647058823
2025-05-25,eeMETRIC,5.3,55,0.09636363636363636,346.9090909090909
2025-05-24,eeMETRIC,5.6,50,0.11199999999999999,403.19999999999993
2025-05-23,eeMETRIC,6.0,55,0.10909090909090909,392.7272727272727
2025-05-22,eeMETRIC,5.3,49,0.10816326530612244,389.3877551020408
2025-05-21,eeMETRIC,6.0,213,0.028169014084507043,101.40845070422536
2025-05-20,eeMETRIC,5.7,401,0.014214463840399002,51.17206982543641
2025-05-19,eeMETRIC,5.6,125,0.0448,161.28
2025-05-18,eeMETRIC,5.4,72,0.07500000000000001,270.00000000000006
2025-05-17,eeMETRIC,5.2,81,0.06419753086419754,231.11111111111111
2025-05-16,eeMETRIC,5.1,90,0.056666666666666664,204.0
2025-05-15,eeMETRIC,6.0,28,0.21428571428571427,771.4285714285713
2025-05-14,eeMETRIC,5.3,119,0.04453781512605042,160.3361344537815
2025-05-13,eeMETRIC,5.4,229,0.023580786026200874,84.89082969432314
2025-05-10,eeMETRIC,5.4,17,0.31764705882352945,1143.529411764706
2025-05-09,eeMETRIC,5.3,123,0.043089430894308944,155.1219512195122
2025-05-08,eeMETRIC,5.5,63,0.0873015873015873,314.2857142857143
2025-05-07,eeMETRIC,5.5,14,0.39285714285714285,1414.2857142857142
2025-05-06,eeMETRIC,5.1,63,0.08095238095238094,291.4285714285714
2025-05-05,eeMETRIC,5.8,159,0.03647798742138365,131.32075471698113
2025-05-04,eeMETRIC,3.7,1,3.7,13320.0
2025-05-03,eeMETRIC,5.7,79,0.07215189873417721,259.746835443038
2025-05-02,eeMETRIC,5.6,80,0.06999999999999999,251.99999999999997
2025-05-01,eeMETRIC,5.7,77,0.07402597402597402,266.49350649350646
2025-04-30,eeMETRIC,5.7,99,0.05757575757575758,207.27272727272728
2025-04-28,eeMETRIC,5.6,20,0.27999999999999997,1007.9999999999999
2025-04-27,eeMETRIC,6.0,16,0.375,1350.0
2025-04-26,eeMETRIC,5.8,195,0.029743589743589743,107.07692307692308
2025-04-25,eeMETRIC,5.3,35,0.1514285714285714,545.1428571428571
2025-04-24,eeMETRIC,5.2,11,0.4727272727272727,1701.8181818181818
2025-04-23,eeMETRIC,5.4,538,0.010037174721189592,36.13382899628253
2025-04-18,eeMETRIC,5.4,88,0.06136363636363637,220.90909090909093
2025-04-17,eeMETRIC,5.0,117,0.042735042735042736,153.84615384615384
2025-04-16,eeMETRIC,5.3,59,0.08983050847457627,323.3898305084746
2025-04-15,eeMETRIC,5.1,68,0.075,270.0
2025-04-14,eeMETRIC,5.2,94,0.055319148936170216,199.14893617021278
2025-04-13,eeMETRIC,4.7,103,0.04563106796116505,164.27184466019418
2025-04-12,eeMETRIC,5.3,52,0.10192307692307692,366.9230769230769
2025-04-11,eeMETRIC,5.1,48,0.10625,382.5
2025-04-10,eeMETRIC,5.1,33,0.15454545454545454,556.3636363636364
2025-04-09,eeMETRIC,5.3,50,0.106,381.59999999999997
2025-04-08,eeMETRIC,5.2,41,0.12682926829268293,456.5853658536585
2025-04-07,eeMETRIC,5.0,46,0.10869565217391304,391.30434782608694
2025-04-06,eeMETRIC,5.0,47,0.10638297872340426,382.97872340425533
2025-04-05,eeMETRIC,5.5,58,0.09482758620689655,341.37931034482756
2025-04-04,eeMETRIC,5.4,84,0.0642857142857143,231.42857142857144
2025-04-03,eeMETRIC,5.2,103,0.05048543689320389,181.747572815534
2025-04-02,eeMETRIC,5.1,67,0.07611940298507462,274.02985074626866
2025-04-01,eeMETRIC,5.3,54,0.09814814814814815,353.33333333333337
2025-03-31,eeMETRIC,5.0,70,0.07142857142857142,257.1428571428571
2025-03-30,eeMETRIC,5.1,93,0.05483870967741935,197.41935483870967
2025-03-29,eeMETRIC,5.2,111,0.04684684684684685,168.64864864864865
2025-03-28,eeMETRIC,5.3,132,0.04015151515151515,144.54545454545456
2025-03-27,eeMETRIC,5.3,110,0.04818181818181818,173.45454545454544
2025-03-26,eeMETRIC,5.4,128,0.0421875,151.875
2025-03-25,eeMETRIC,5.3,100,0.053,190.79999999999998
2025-03-24,eeMETRIC,5.3,43,0.12325581395348836,443.7209302325581
2025-03-23,eeMETRIC,5.2,30,0.17333333333333334,624.0
2025-03-22,eeMETRIC,5.2,61,0.08524590163934427,306.8852459016394
2025-03-21,eeMETRIC,4.9,60,0.08166666666666668,294.00000000000006
2025-03-20,eeMETRIC,5.1,56,0.09107142857142857,327.85714285714283
2025-03-19,eeMETRIC,4.9,51,0.09607843137254903,345.88235294117646
2025-03-18,eeMETRIC,5.2,50,0.10400000000000001,374.40000000000003
2025-03-17,eeMETRIC,5.2,55,0.09454545454545454,340.3636363636364
2025-03-16,eeMETRIC,4.9,103,0.047572815533980586,171.26213592233012
2025-03-15,eeMETRIC,5.2,104,0.05,180.0
2025-03-14,eeMETRIC,5.4,77,0.07012987012987014,252.4675324675325
2025-03-13,eeMETRIC,5.0,67,0.07462686567164178,268.65671641791045
2025-03-12,eeMETRIC,4.8,45,0.10666666666666666,384.0
2025-03-11,eeMETRIC,4.7,46,0.10217391304347827,367.82608695652175
2025-03-10,eeMETRIC,4.9,47,0.10425531914893618,375.3191489361703
2025-03-09,eeMETRIC,5.0,46,0.10869565217391304,391.30434782608694
2025-03-08,eeMETRIC,5.2,68,0.07647058823529412,275.29411764705884
2025-03-07,eeMETRIC,5.0,81,0.06172839506172839,222.2222222222222
2025-03-06,eeMETRIC,4.9,132,0.037121212121212124,133.63636363636365
2025-03-05,eeMETRIC,5.0,139,0.03597122302158273,129.49640287769785
2025-03-04,eeMETRIC,4.6,57,0.0807017543859649,290.52631578947364
2025-03-03,eeMETRIC,4.6,49,0.09387755102040815,337.95918367346934
2025-03-02,eeMETRIC,4.8,43,0.11162790697674418,401.86046511627904
2025-03-01,eeMETRIC,4.8,40,0.12,432.0
2025-02-28,eeMETRIC,5.3,115,0.04608695652173913,165.91304347826087
2025-02-27,eeMETRIC,4.8,76,0.06315789473684211,227.3684210526316
2025-02-26,eeMETRIC,5.1,62,0.08225806451612902,296.12903225806446
2025-02-25,eeMETRIC,5.2,52,0.1,360.0
2025-02-24,eeMETRIC,4.9,56,0.08750000000000001,315.00000000000006
2025-02-23,eeMETRIC,4.9,60,0.08166666666666668,294.00000000000006
2025-02-22,eeMETRIC,5.0,57,0.08771929824561403,315.7894736842105
2025-02-21,eeMETRIC,4.7,46,0.10217391304347827,367.82608695652175
2025-02-20,eeMETRIC,5.0,46,0.10869565217391304,391.30434782608694
2025-02-19,eeMETRIC,4.9,36,0.13611111111111113,490.00000000000006
2025-02-18,eeMETRIC,5.1,40,0.1275,459.0
2025-02-17,eeMETRIC,4.7,44,0.10681818181818183,384.54545454545456
2025-02-16,eeMETRIC,4.9,132,0.037121212121212124,133.63636363636365
2025-02-15,eeMETRIC,4.8,67,0.07164179104477612,257.91044776119406
2025-02-14,eeMETRIC,5.0,50,0.1,360.0
2025-02-13,eeMETRIC,5.1,59,0.08644067796610169,311.1864406779661
2025-02-12,eeMETRIC,5.2,51,0.10196078431372549,367.05882352941177
2025-02-11,eeMETRIC,4.9,51,0.09607843137254903,345.88235294117646
2025-02-10,eeMETRIC,4.8,51,0.09411764705882353,338.8235294117647
2025-02-09,eeMETRIC,5.1,137,0.03722627737226277,134.01459854014598
2025-02-08,eeMETRIC,5.2,52,0.1,360.0
2025-02-07,eeMETRIC,4.9,47,0.10425531914893618,375.3191489361703
2025-02-06,eeMETRIC,5.0,59,0.0847457627118644,305.08474576271186
2025-02-05,eeMETRIC,5.2,65,0.08,288.0
2025-02-04,eeMETRIC,4.9,71,0.06901408450704226,248.45070422535213
2025-02-03,eeMETRIC,5.0,78,0.0641025641025641,230.76923076923075
